pincode,city_tier
100057,Metro
100221,Metro
110001,Metro
110002,Metro
110003,Metro
110004,Metro
110005,Metro
110006,Metro
110007,Metro
110008,Metro
110009,Metro
110010,Metro
110011,Metro
110012,Metro
110013,Metro
110014,Metro
110015,Metro
110016,Metro
110017,Metro
110018,Metro
110019,Metro
110020,Metro
110021,Metro
110022,Metro
110023,Metro
110024,Metro
110025,Metro
110026,Metro
110027,Metro
110028,Metro
110029,Metro
110030,Metro
110031,Metro
110032,Metro
110033,Metro
110034,Metro
110035,Metro
110036,Metro
110037,Metro
110038,Metro
110039,Metro
110040,Metro
110041,Metro
110042,Metro
110043,Metro
110044,Metro
110045,Metro
110046,Metro
110047,Metro
110048,Metro
110049,Metro
110050,Metro
110051,Metro
110052,Metro
110053,Metro
110054,Metro
110055,Metro
110056,Metro
110057,Metro
110058,Metro
110059,Metro
110060,Metro
110061,Metro
110062,Metro
110063,Metro
110064,Metro
110065,Metro
110066,Metro
110067,Metro
110068,Metro
110069,Metro
110070,Metro
110071,Metro
110072,Metro
110073,Metro
110074,Metro
110075,Metro
110076,Metro
110077,Metro
110078,Metro
110079,Metro
110080,Metro
110081,Metro
110082,Metro
110083,Metro
110084,Metro
110085,Metro
110086,Metro
110087,Metro
110088,Metro
110089,Metro
110090,Metro
110091,Metro
110092,Metro
110093,Metro
110094,Metro
110095,Metro
110096,Metro
110097,Metro
110098,Metro
110099,Metro
110101,Metro
110102,Metro
110103,Metro
110104,Metro
110105,Metro
110106,Metro
110107,Metro
110108,Metro
110109,Metro
110110,Metro
110111,Metro
110112,Metro
110113,Metro
110114,Metro
110115,Metro
110116,Metro
110117,Metro
110118,Metro
110119,Metro
110120,Metro
110121,Metro
110122,Metro
110123,Metro
110124,Metro
110125,Metro
110301,Metro
110302,Metro
110501,Metro
110502,Metro
110503,Metro
110504,Metro
110505,Metro
110510,Metro
110511,Metro
110512,Metro
110601,Metro
110602,Metro
110603,Metro
110604,Metro
110605,Metro
110606,Metro
110607,Metro
110608,Metro
110609,Metro
111111,Metro
116005,Metro
120011,Metro
121000,Metro
121001,Metro
121002,Metro
121003,Metro
121004,Metro
121005,Metro
121006,Metro
121007,Metro
121008,Metro
121009,Metro
121010,Metro
121011,Metro
121012,Metro
121013,Metro
121014,Metro
121018,Metro
121019,Metro
121101,Metro
121104,Metro
121105,Metro
121206,Metro
122000,Metro
122001,Metro
122002,Metro
122003,Metro
122004,Metro
122005,Metro
122006,Metro
122007,Metro
122008,Metro
122009,Metro
122010,Metro
122011,Metro
122012,Metro
122013,Metro
122014,Metro
122015,Metro
122016,Metro
122017,Metro
122018,Metro
122019,Metro
122022,Metro
122023,Metro
122024,Metro
122025,Metro
122026,Metro
122034,Metro
122037,Metro
122038,Metro
122043,Metro
122045,Metro
122047,Metro
122048,Metro
122049,Metro
122050,Metro
122051,Metro
122052,Metro
122061,Metro
122071,Metro
122080,Metro
122098,Metro
122101,Metro
122102,Metro
122105,Metro
122108,Metro
122109,Metro
122122,Metro
122202,Metro
122203,Metro
122211,Metro
122413,Metro
122414,Metro
122502,Metro
122504,Metro
122505,Metro
122506,Metro
122508,Metro
123413,Metro
123507,Metro
123508,Metro
201001,Metro
201002,Metro
201003,Metro
201004,Metro
201005,Metro
201006,Metro
201007,Metro
201008,Metro
201009,Metro
201010,Metro
201011,Metro
201012,Metro
201013,Metro
201014,Metro
201015,Metro
201016,Metro
201017,Metro
201018,Metro
201019,Metro
201021,Metro
201026,Metro
201030,Metro
201055,Metro
201101,Metro
201102,Metro
201103,Metro
201104,Metro
201153,Metro
201202,Metro
201203,Metro
201206,Metro
201208,Metro
201214,Metro
201300,Metro
201301,Metro
201302,Metro
201303,Metro
201304,Metro
201305,Metro
201306,Metro
201307,Metro
201308,Metro
201309,Metro
201310,Metro
201313,Metro
201314,Metro
201319,Metro
202012,Metro
202014,Metro
205306,Metro
210002,Metro
210003,Metro
210005,Metro
210006,Metro
210007,Metro
210008,Metro
210009,Metro
210010,Metro
210011,Metro
210012,Metro
210014,Metro
210140,Metro
210240,Metro
222333,Metro
245102,Metro
245205,Metro
245207,Metro
245301,Metro
245304,Metro
284067,Metro
300054,Metro
321356,Metro
363610,Metro
380000,Metro
380001,Metro
380002,Metro
380003,Metro
380004,Metro
380005,Metro
380006,Metro
380007,Metro
380008,Metro
380009,Metro
380010,Metro
380011,Metro
380012,Metro
380013,Metro
380014,Metro
380015,Metro
380016,Metro
380017,Metro
380018,Metro
380019,Metro
380021,Metro
380022,Metro
380023,Metro
380024,Metro
380025,Metro
380026,Metro
380027,Metro
380028,Metro
380029,Metro
380030,Metro
380036,Metro
380041,Metro
380042,Metro
380044,Metro
380045,Metro
380049,Metro
380050,Metro
380051,Metro
380052,Metro
380053,Metro
380054,Metro
380055,Metro
380056,Metro
380058,Metro
380059,Metro
380060,Metro
380061,Metro
380062,Metro
380063,Metro
380064,Metro
380065,Metro
380066,Metro
380069,Metro
380071,Metro
380078,Metro
380079,Metro
380081,Metro
380087,Metro
380123,Metro
380151,Metro
380152,Metro
380202,Metro
380215,Metro
380316,Metro
380350,Metro
380452,Metro
381156,Metro
382000,Metro
382113,Metro
382115,Metro
382120,Metro
382130,Metro
382140,Metro
382145,Metro
382155,Metro
382160,Metro
382165,Metro
382166,Metro
382170,Metro
382210,Metro
382211,Metro
382213,Metro
382214,Metro
382226,Metro
382230,Metro
382240,Metro
382250,Metro
382255,Metro
382260,Metro
382270,Metro
382276,Metro
382305,Metro
382308,Metro
382310,Metro
382316,Metro
